Date,DayOfWeek,Year,Month,WeekOfYear,StateHoliday,IsLebaranShoppingWindow,SchoolHoliday
2022-03-12,6,2022,3,10,0,0,0
2022-03-13,7,2022,3,10,0,0,0
2022-03-14,1,2022,3,11,0,0,0
2022-03-15,2,2022,3,11,0,0,0
2022-03-16,3,2022,3,11,0,0,0
2022-03-17,4,2022,3,11,0,0,0
2022-03-18,5,2022,3,11,0,0,0
2022-03-19,6,2022,3,11,0,0,0
2022-03-20,7,2022,3,11,0,0,0
2022-03-21,1,2022,3,12,0,0,0
2022-03-22,2,2022,3,12,0,0,0
2022-03-23,3,2022,3,12,0,0,0
2022-03-24,4,2022,3,12,0,0,0
2022-03-25,5,2022,3,12,0,0,0
2022-03-26,6,2022,3,12,0,0,0
2022-03-27,7,2022,3,12,0,0,0
2022-03-28,1,2022,3,13,0,0,0
2022-03-29,2,2022,3,13,0,0,0
2022-03-30,3,2022,3,13,0,0,0
2022-03-31,4,2022,3,13,0,0,0
2022-04-01,5,2022,4,13,0,0,0
2022-04-02,6,2022,4,13,0,0,0
2022-04-03,7,2022,4,13,0,0,0
2022-04-04,1,2022,4,14,0,0,0
2022-04-05,2,2022,4,14,0,0,0
2022-04-06,3,2022,4,14,0,0,0
2022-04-07,4,2022,4,14,0,0,0
2022-04-08,5,2022,4,14,0,0,0
2022-04-09,6,2022,4,14,0,0,0
2022-04-10,7,2022,4,14,0,0,0
2022-04-11,1,2022,4,15,0,0,0
2022-04-12,2,2022,4,15,0,0,0
2022-04-13,3,2022,4,15,0,0,0
2022-04-14,4,2022,4,15,0,0,0
2022-04-15,5,2022,4,15,0,0,0
2022-04-16,6,2022,4,15,0,0,0
2022-04-17,7,2022,4,15,0,0,0
2022-04-18,1,2022,4,16,0,0,0
2022-04-19,2,2022,4,16,0,0,0
2022-04-20,3,2022,4,16,0,0,0
2022-04-21,4,2022,4,16,0,0,0
2022-04-22,5,2022,4,16,0,0,0
2022-04-23,6,2022,4,16,0,0,0
2022-04-24,7,2022,4,16,0,0,0
2022-04-25,1,2022,4,17,0,1,0
2022-04-26,2,2022,4,17,0,1,0
2022-04-27,3,2022,4,17,0,1,0
2022-04-28,4,2022,4,17,0,1,0
2022-04-29,5,2022,4,17,0,1,0
2022-04-30,6,2022,4,17,0,1,0
2022-05-01,7,2022,5,17,0,1,0
2022-05-02,1,2022,5,18,b,0,0
2022-05-03,2,2022,5,18,b,0,0
2022-05-04,3,2022,5,18,0,0,0
2022-05-05,4,2022,5,18,0,0,0
2022-05-06,5,2022,5,18,0,0,0
2022-05-07,6,2022,5,18,0,0,0
2022-05-08,7,2022,5,18,0,0,0
2022-05-09,1,2022,5,19,0,0,0
2022-05-10,2,2022,5,19,0,0,0
2022-05-11,3,2022,5,19,0,0,0
2022-05-12,4,2022,5,19,0,0,0
2022-05-13,5,2022,5,19,0,0,0
2022-05-14,6,2022,5,19,0,0,0
2022-05-15,7,2022,5,19,0,0,0
2022-05-16,1,2022,5,20,0,0,0
2022-05-17,2,2022,5,20,0,0,0
2022-05-18,3,2022,5,20,0,0,0
2022-05-19,4,2022,5,20,0,0,0
2022-05-20,5,2022,5,20,0,0,0
2022-05-21,6,2022,5,20,0,0,0
2022-05-22,7,2022,5,20,0,0,0
2022-05-23,1,2022,5,21,0,0,0
2022-05-24,2,2022,5,21,0,0,0
2022-05-25,3,2022,5,21,0,0,0
2022-05-26,4,2022,5,21,0,0,0
2022-05-27,5,2022,5,21,0,0,0
2022-05-28,6,2022,5,21,0,0,0
2022-05-29,7,2022,5,21,0,0,0
2022-05-30,1,2022,5,22,0,0,0
2022-05-31,2,2022,5,22,0,0,0
2022-06-01,3,2022,6,22,0,0,1
2022-06-02,4,2022,6,22,0,0,1
2022-06-03,5,2022,6,22,0,0,1
2022-06-04,6,2022,6,22,0,0,1
2022-06-05,7,2022,6,22,0,0,1
2022-06-06,1,2022,6,23,0,0,1
2022-06-07,2,2022,6,23,0,0,1
2022-06-08,3,2022,6,23,0,0,1
2022-06-09,4,2022,6,23,0,0,1
2022-06-10,5,2022,6,23,0,0,1
2022-06-11,6,2022,6,23,0,0,1
2022-06-12,7,2022,6,23,0,0,1
2022-06-13,1,2022,6,24,0,0,1
2022-06-14,2,2022,6,24,0,0,1
2022-06-15,3,2022,6,24,0,0,1
2022-06-16,4,2022,6,24,0,0,1
2022-06-17,5,2022,6,24,0,0,1
2022-06-18,6,2022,6,24,0,0,1
2022-06-19,7,2022,6,24,0,0,1
2022-06-20,1,2022,6,25,0,0,1
2022-06-21,2,2022,6,25,0,0,1
2022-06-22,3,2022,6,25,0,0,1
2022-06-23,4,2022,6,25,0,0,1
2022-06-24,5,2022,6,25,0,0,1
2022-06-25,6,2022,6,25,0,0,1
2022-06-26,7,2022,6,25,0,0,1
2022-06-27,1,2022,6,26,0,0,1
2022-06-28,2,2022,6,26,0,0,1
2022-06-29,3,2022,6,26,0,0,1
2022-06-30,4,2022,6,26,0,0,1
2022-07-01,5,2022,7,26,0,0,1
2022-07-02,6,2022,7,26,0,0,1
2022-07-03,7,2022,7,26,0,0,1
2022-07-04,1,2022,7,27,0,0,1
2022-07-05,2,2022,7,27,0,0,1
2022-07-06,3,2022,7,27,0,0,1
2022-07-07,4,2022,7,27,0,0,1
2022-07-08,5,2022,7,27,0,0,1
2022-07-09,6,2022,7,27,0,0,1
2022-07-10,7,2022,7,27,0,0,1
2022-07-11,1,2022,7,28,0,0,1
2022-07-12,2,2022,7,28,0,0,1
2022-07-13,3,2022,7,28,0,0,1
2022-07-14,4,2022,7,28,0,0,1
2022-07-15,5,2022,7,28,0,0,1
2022-07-16,6,2022,7,28,0,0,1
2022-07-17,7,2022,7,28,0,0,1
2022-07-18,1,2022,7,29,0,0,1
2022-07-19,2,2022,7,29,0,0,1
2022-07-20,3,2022,7,29,0,0,1
2022-07-21,4,2022,7,29,0,0,1
2022-07-22,5,2022,7,29,0,0,1
2022-07-23,6,2022,7,29,0,0,1
2022-07-24,7,2022,7,29,0,0,1
2022-07-25,1,2022,7,30,0,0,1
2022-07-26,2,2022,7,30,0,0,1
2022-07-27,3,2022,7,30,0,0,1
2022-07-28,4,2022,7,30,0,0,1
2022-07-29,5,2022,7,30,0,0,1
2022-07-30,6,2022,7,30,0,0,1
2022-07-31,7,2022,7,30,0,0,1
2022-08-01,1,2022,8,31,0,0,0
2022-08-02,2,2022,8,31,0,0,0
2022-08-03,3,2022,8,31,0,0,0
2022-08-04,4,2022,8,31,0,0,0
2022-08-05,5,2022,8,31,0,0,0
2022-08-06,6,2022,8,31,0,0,0
2022-08-07,7,2022,8,31,0,0,0
2022-08-08,1,2022,8,32,0,0,0
2022-08-09,2,2022,8,32,0,0,0
2022-08-10,3,2022,8,32,0,0,0
2022-08-11,4,2022,8,32,0,0,0
2022-08-12,5,2022,8,32,0,0,0
2022-08-13,6,2022,8,32,0,0,0
2022-08-14,7,2022,8,32,0,0,0
2022-08-15,1,2022,8,33,0,0,0
2022-08-16,2,2022,8,33,0,0,0
2022-08-17,3,2022,8,33,a,0,0
2022-08-18,4,2022,8,33,0,0,0
2022-08-19,5,2022,8,33,0,0,0
2022-08-20,6,2022,8,33,0,0,0
2022-08-21,7,2022,8,33,0,0,0
2022-08-22,1,2022,8,34,0,0,0
2022-08-23,2,2022,8,34,0,0,0
2022-08-24,3,2022,8,34,0,0,0
2022-08-25,4,2022,8,34,0,0,0
2022-08-26,5,2022,8,34,0,0,0
2022-08-27,6,2022,8,34,0,0,0
2022-08-28,7,2022,8,34,0,0,0
2022-08-29,1,2022,8,35,0,0,0
2022-08-30,2,2022,8,35,0,0,0
2022-08-31,3,2022,8,35,0,0,0
2022-09-01,4,2022,9,35,0,0,0
2022-09-02,5,2022,9,35,0,0,0
2022-09-03,6,2022,9,35,0,0,0
2022-09-04,7,2022,9,35,0,0,0
2022-09-05,1,2022,9,36,0,0,0
2022-09-06,2,2022,9,36,0,0,0
2022-09-07,3,2022,9,36,0,0,0
2022-09-08,4,2022,9,36,0,0,0
2022-09-09,5,2022,9,36,0,0,0
2022-09-10,6,2022,9,36,0,0,0
2022-09-11,7,2022,9,36,0,0,0
2022-09-12,1,2022,9,37,0,0,0
2022-09-13,2,2022,9,37,0,0,0
2022-09-14,3,2022,9,37,0,0,0
2022-09-15,4,2022,9,37,0,0,0
2022-09-16,5,2022,9,37,0,0,0
2022-09-17,6,2022,9,37,0,0,0
2022-09-18,7,2022,9,37,0,0,0
2022-09-19,1,2022,9,38,0,0,0
2022-09-20,2,2022,9,38,0,0,0
2022-09-21,3,2022,9,38,0,0,0
2022-09-22,4,2022,9,38,0,0,0
2022-09-23,5,2022,9,38,0,0,0
2022-09-24,6,2022,9,38,0,0,0
2022-09-25,7,2022,9,38,0,0,0
2022-09-26,1,2022,9,39,0,0,0
2022-09-27,2,2022,9,39,0,0,0
2022-09-28,3,2022,9,39,0,0,0
2022-09-29,4,2022,9,39,0,0,0
2022-09-30,5,2022,9,39,0,0,0
2022-10-01,6,2022,10,39,0,0,0
2022-10-02,7,2022,10,39,0,0,0
2022-10-03,1,2022,10,40,0,0,0
2022-10-04,2,2022,10,40,0,0,0
2022-10-05,3,2022,10,40,0,0,0
2022-10-06,4,2022,10,40,0,0,0
2022-10-07,5,2022,10,40,0,0,0
2022-10-08,6,2022,10,40,0,0,0
2022-10-09,7,2022,10,40,0,0,0
2022-10-10,1,2022,10,41,0,0,0
2022-10-11,2,2022,10,41,0,0,0
2022-10-12,3,2022,10,41,0,0,0
2022-10-13,4,2022,10,41,0,0,0
2022-10-14,5,2022,10,41,0,0,0
2022-10-15,6,2022,10,41,0,0,0
2022-10-16,7,2022,10,41,0,0,0
2022-10-17,1,2022,10,42,0,0,0
2022-10-18,2,2022,10,42,0,0,0
2022-10-19,3,2022,10,42,0,0,0
2022-10-20,4,2022,10,42,0,0,0
2022-10-21,5,2022,10,42,0,0,0
2022-10-22,6,2022,10,42,0,0,0
2022-10-23,7,2022,10,42,0,0,0
2022-10-24,1,2022,10,43,0,0,0
2022-10-25,2,2022,10,43,0,0,0
2022-10-26,3,2022,10,43,0,0,0
2022-10-27,4,2022,10,43,0,0,0
2022-10-28,5,2022,10,43,0,0,0
2022-10-29,6,2022,10,43,0,0,0
2022-10-30,7,2022,10,43,0,0,0
2022-10-31,1,2022,10,44,0,0,0
2022-11-01,2,2022,11,44,0,0,0
2022-11-02,3,2022,11,44,0,0,0
2022-11-03,4,2022,11,44,0,0,0
2022-11-04,5,2022,11,44,0,0,0
2022-11-05,6,2022,11,44,0,0,0
2022-11-06,7,2022,11,44,0,0,0
2022-11-07,1,2022,11,45,0,0,0
2022-11-08,2,2022,11,45,0,0,0
2022-11-09,3,2022,11,45,0,0,0
2022-11-10,4,2022,11,45,0,0,0
2022-11-11,5,2022,11,45,0,0,0
2022-11-12,6,2022,11,45,0,0,0
2022-11-13,7,2022,11,45,0,0,0
2022-11-14,1,2022,11,46,0,0,0
2022-11-15,2,2022,11,46,0,0,0
2022-11-16,3,2022,11,46,0,0,0
2022-11-17,4,2022,11,46,0,0,0
2022-11-18,5,2022,11,46,0,0,0
2022-11-19,6,2022,11,46,0,0,0
2022-11-20,7,2022,11,46,0,0,0
2022-11-21,1,2022,11,47,0,0,0
2022-11-22,2,2022,11,47,0,0,0
2022-11-23,3,2022,11,47,0,0,0
2022-11-24,4,2022,11,47,0,0,0
2022-11-25,5,2022,11,47,0,0,0
2022-11-26,6,2022,11,47,0,0,0
2022-11-27,7,2022,11,47,0,0,0
2022-11-28,1,2022,11,48,0,0,0
2022-11-29,2,2022,11,48,0,0,0
2022-11-30,3,2022,11,48,0,0,0
2022-12-01,4,2022,12,48,0,0,0
2022-12-02,5,2022,12,48,0,0,0
2022-12-03,6,2022,12,48,0,0,0
2022-12-04,7,2022,12,48,0,0,0
2022-12-05,1,2022,12,49,0,0,0
2022-12-06,2,2022,12,49,0,0,0
2022-12-07,3,2022,12,49,0,0,0
2022-12-08,4,2022,12,49,0,0,0
2022-12-09,5,2022,12,49,0,0,0
2022-12-10,6,2022,12,49,0,0,0
2022-12-11,7,2022,12,49,0,0,0
2022-12-12,1,2022,12,50,0,0,0
2022-12-13,2,2022,12,50,0,0,0
2022-12-14,3,2022,12,50,0,0,0
2022-12-15,4,2022,12,50,0,0,0
2022-12-16,5,2022,12,50,0,0,0
2022-12-17,6,2022,12,50,0,0,0
2022-12-18,7,2022,12,50,0,0,0
2022-12-19,1,2022,12,51,0,0,0
2022-12-20,2,2022,12,51,0,0,0
2022-12-21,3,2022,12,51,0,0,0
2022-12-22,4,2022,12,51,0,0,0
2022-12-23,5,2022,12,51,0,0,0
2022-12-24,6,2022,12,51,0,0,0
2022-12-25,7,2022,12,51,a,0,0
2022-12-26,1,2022,12,52,0,0,0
2022-12-27,2,2022,12,52,0,0,0
2022-12-28,3,2022,12,52,0,0,0
2022-12-29,4,2022,12,52,0,0,0
2022-12-30,5,2022,12,52,0,0,0
2022-12-31,6,2022,12,52,0,0,0
2023-01-01,7,2023,1,52,a,0,0
2023-01-02,1,2023,1,1,0,0,0
2023-01-03,2,2023,1,1,0,0,0
2023-01-04,3,2023,1,1,0,0,0
2023-01-05,4,2023,1,1,0,0,0
2023-01-06,5,2023,1,1,0,0,0
2023-01-07,6,2023,1,1,0,0,0
2023-01-08,7,2023,1,1,0,0,0
2023-01-09,1,2023,1,2,0,0,0
2023-01-10,2,2023,1,2,0,0,0
2023-01-11,3,2023,1,2,0,0,0
2023-01-12,4,2023,1,2,0,0,0
2023-01-13,5,2023,1,2,0,0,0
2023-01-14,6,2023,1,2,0,0,0
2023-01-15,7,2023,1,2,0,0,0
2023-01-16,1,2023,1,3,0,0,0
2023-01-17,2,2023,1,3,0,0,0
2023-01-18,3,2023,1,3,0,0,0
2023-01-19,4,2023,1,3,0,0,0
2023-01-20,5,2023,1,3,0,0,0
2023-01-21,6,2023,1,3,0,0,0
2023-01-22,7,2023,1,3,0,0,0
2023-01-23,1,2023,1,4,0,0,0
2023-01-24,2,2023,1,4,0,0,0
2023-01-25,3,2023,1,4,0,0,0
2023-01-26,4,2023,1,4,0,0,0
2023-01-27,5,2023,1,4,0,0,0
2023-01-28,6,2023,1,4,0,0,0
2023-01-29,7,2023,1,4,0,0,0
2023-01-30,1,2023,1,5,0,0,0
2023-01-31,2,2023,1,5,0,0,0
2023-02-01,3,2023,2,5,0,0,0
2023-02-02,4,2023,2,5,0,0,0
2023-02-03,5,2023,2,5,0,0,0
2023-02-04,6,2023,2,5,0,0,0
2023-02-05,7,2023,2,5,0,0,0
2023-02-06,1,2023,2,6,0,0,0
2023-02-07,2,2023,2,6,0,0,0
2023-02-08,3,2023,2,6,0,0,0
2023-02-09,4,2023,2,6,0,0,0
2023-02-10,5,2023,2,6,0,0,0
2023-02-11,6,2023,2,6,0,0,0
2023-02-12,7,2023,2,6,0,0,0
2023-02-13,1,2023,2,7,0,0,0
2023-02-14,2,2023,2,7,0,0,0
2023-02-15,3,2023,2,7,0,0,0
2023-02-16,4,2023,2,7,0,0,0
2023-02-17,5,2023,2,7,0,0,0
2023-02-18,6,2023,2,7,0,0,0
2023-02-19,7,2023,2,7,0,0,0
2023-02-20,1,2023,2,8,0,0,0
2023-02-21,2,2023,2,8,0,0,0
2023-02-22,3,2023,2,8,0,0,0
2023-02-23,4,2023,2,8,0,0,0
2023-02-24,5,2023,2,8,0,0,0
2023-02-25,6,2023,2,8,0,0,0
2023-02-26,7,2023,2,8,0,0,0
2023-02-27,1,2023,2,9,0,0,0
2023-02-28,2,2023,2,9,0,0,0
2023-03-01,3,2023,3,9,0,0,0
2023-03-02,4,2023,3,9,0,0,0
2023-03-03,5,2023,3,9,0,0,0
2023-03-04,6,2023,3,9,0,0,0
2023-03-05,7,2023,3,9,0,0,0
2023-03-06,1,2023,3,10,0,0,0
2023-03-07,2,2023,3,10,0,0,0
2023-03-08,3,2023,3,10,0,0,0
2023-03-09,4,2023,3,10,0,0,0
2023-03-10,5,2023,3,10,0,0,0
2023-03-11,6,2023,3,10,0,0,0
2023-03-12,7,2023,3,10,0,0,0
2023-03-13,1,2023,3,11,0,0,0
2023-03-14,2,2023,3,11,0,0,0
2023-03-15,3,2023,3,11,0,0,0
2023-03-16,4,2023,3,11,0,0,0
2023-03-17,5,2023,3,11,0,0,0
2023-03-18,6,2023,3,11,0,0,0
2023-03-19,7,2023,3,11,0,0,0
2023-03-20,1,2023,3,12,0,0,0
2023-03-21,2,2023,3,12,0,0,0
2023-03-22,3,2023,3,12,0,0,0
2023-03-23,4,2023,3,12,0,0,0
2023-03-24,5,2023,3,12,0,0,0
2023-03-25,6,2023,3,12,0,0,0
2023-03-26,7,2023,3,12,0,0,0
2023-03-27,1,2023,3,13,0,0,0
2023-03-28,2,2023,3,13,0,0,0
2023-03-29,3,2023,3,13,0,0,0
2023-03-30,4,2023,3,13,0,0,0
2023-03-31,5,2023,3,13,0,0,0
2023-04-01,6,2023,4,13,0,0,0
2023-04-02,7,2023,4,13,0,0,0
2023-04-03,1,2023,4,14,0,0,0
2023-04-04,2,2023,4,14,0,0,0
2023-04-05,3,2023,4,14,0,0,0
2023-04-06,4,2023,4,14,0,0,0
2023-04-07,5,2023,4,14,0,0,0
2023-04-08,6,2023,4,14,0,0,0
2023-04-09,7,2023,4,14,0,0,0
2023-04-10,1,2023,4,15,0,0,0
2023-04-11,2,2023,4,15,0,0,0
2023-04-12,3,2023,4,15,0,0,0
2023-04-13,4,2023,4,15,0,0,0
2023-04-14,5,2023,4,15,0,0,0
2023-04-15,6,2023,4,15,0,1,0
2023-04-16,7,2023,4,15,0,1,0
2023-04-17,1,2023,4,16,0,1,0
2023-04-18,2,2023,4,16,0,1,0
2023-04-19,3,2023,4,16,0,1,0
2023-04-20,4,2023,4,16,0,1,0
2023-04-21,5,2023,4,16,0,1,0
2023-04-22,6,2023,4,16,b,0,0
2023-04-23,7,2023,4,16,b,0,0
2023-04-24,1,2023,4,17,0,0,0
2023-04-25,2,2023,4,17,0,0,0
2023-04-26,3,2023,4,17,0,0,0
2023-04-27,4,2023,4,17,0,0,0
2023-04-28,5,2023,4,17,0,0,0
2023-04-29,6,2023,4,17,0,0,0
2023-04-30,7,2023,4,17,0,0,0
2023-05-01,1,2023,5,18,0,0,0
2023-05-02,2,2023,5,18,0,0,0
2023-05-03,3,2023,5,18,0,0,0
2023-05-04,4,2023,5,18,0,0,0
2023-05-05,5,2023,5,18,0,0,0
2023-05-06,6,2023,5,18,0,0,0
2023-05-07,7,2023,5,18,0,0,0
2023-05-08,1,2023,5,19,0,0,0
2023-05-09,2,2023,5,19,0,0,0
2023-05-10,3,2023,5,19,0,0,0
2023-05-11,4,2023,5,19,0,0,0
2023-05-12,5,2023,5,19,0,0,0
2023-05-13,6,2023,5,19,0,0,0
2023-05-14,7,2023,5,19,0,0,0
2023-05-15,1,2023,5,20,0,0,0
2023-05-16,2,2023,5,20,0,0,0
2023-05-17,3,2023,5,20,0,0,0
2023-05-18,4,2023,5,20,0,0,0
2023-05-19,5,2023,5,20,0,0,0
2023-05-20,6,2023,5,20,0,0,0
2023-05-21,7,2023,5,20,0,0,0
2023-05-22,1,2023,5,21,0,0,0
2023-05-23,2,2023,5,21,0,0,0
2023-05-24,3,2023,5,21,0,0,0
2023-05-25,4,2023,5,21,0,0,0
2023-05-26,5,2023,5,21,0,0,0
2023-05-27,6,2023,5,21,0,0,0
2023-05-28,7,2023,5,21,0,0,0
2023-05-29,1,2023,5,22,0,0,0
2023-05-30,2,2023,5,22,0,0,0
2023-05-31,3,2023,5,22,0,0,0
2023-06-01,4,2023,6,22,0,0,1
2023-06-02,5,2023,6,22,0,0,1
2023-06-03,6,2023,6,22,0,0,1
2023-06-04,7,2023,6,22,0,0,1
2023-06-05,1,2023,6,23,0,0,1
2023-06-06,2,2023,6,23,0,0,1
2023-06-07,3,2023,6,23,0,0,1
2023-06-08,4,2023,6,23,0,0,1
2023-06-09,5,2023,6,23,0,0,1
2023-06-10,6,2023,6,23,0,0,1
2023-06-11,7,2023,6,23,0,0,1
2023-06-12,1,2023,6,24,0,0,1
2023-06-13,2,2023,6,24,0,0,1
2023-06-14,3,2023,6,24,0,0,1
2023-06-15,4,2023,6,24,0,0,1
2023-06-16,5,2023,6,24,0,0,1
2023-06-17,6,2023,6,24,0,0,1
2023-06-18,7,2023,6,24,0,0,1
2023-06-19,1,2023,6,25,0,0,1
2023-06-20,2,2023,6,25,0,0,1
2023-06-21,3,2023,6,25,0,0,1
2023-06-22,4,2023,6,25,0,0,1
2023-06-23,5,2023,6,25,0,0,1
2023-06-24,6,2023,6,25,0,0,1
2023-06-25,7,2023,6,25,0,0,1
2023-06-26,1,2023,6,26,0,0,1
2023-06-27,2,2023,6,26,0,0,1
2023-06-28,3,2023,6,26,0,0,1
2023-06-29,4,2023,6,26,0,0,1
2023-06-30,5,2023,6,26,0,0,1
2023-07-01,6,2023,7,26,0,0,1
2023-07-02,7,2023,7,26,0,0,1
2023-07-03,1,2023,7,27,0,0,1
2023-07-04,2,2023,7,27,0,0,1
2023-07-05,3,2023,7,27,0,0,1
2023-07-06,4,2023,7,27,0,0,1
2023-07-07,5,2023,7,27,0,0,1
2023-07-08,6,2023,7,27,0,0,1
2023-07-09,7,2023,7,27,0,0,1
2023-07-10,1,2023,7,28,0,0,1
2023-07-11,2,2023,7,28,0,0,1
2023-07-12,3,2023,7,28,0,0,1
2023-07-13,4,2023,7,28,0,0,1
2023-07-14,5,2023,7,28,0,0,1
2023-07-15,6,2023,7,28,0,0,1
2023-07-16,7,2023,7,28,0,0,1
2023-07-17,1,2023,7,29,0,0,1
2023-07-18,2,2023,7,29,0,0,1
2023-07-19,3,2023,7,29,0,0,1
2023-07-20,4,2023,7,29,0,0,1
2023-07-21,5,2023,7,29,0,0,1
2023-07-22,6,2023,7,29,0,0,1
2023-07-23,7,2023,7,29,0,0,1
2023-07-24,1,2023,7,30,0,0,1
2023-07-25,2,2023,7,30,0,0,1
2023-07-26,3,2023,7,30,0,0,1
2023-07-27,4,2023,7,30,0,0,1
2023-07-28,5,2023,7,30,0,0,1
2023-07-29,6,2023,7,30,0,0,1
2023-07-30,7,2023,7,30,0,0,1
2023-07-31,1,2023,7,31,0,0,1
2023-08-01,2,2023,8,31,0,0,0
2023-08-02,3,2023,8,31,0,0,0
2023-08-03,4,2023,8,31,0,0,0
2023-08-04,5,2023,8,31,0,0,0
2023-08-05,6,2023,8,31,0,0,0
2023-08-06,7,2023,8,31,0,0,0
2023-08-07,1,2023,8,32,0,0,0
2023-08-08,2,2023,8,32,0,0,0
2023-08-09,3,2023,8,32,0,0,0
2023-08-10,4,2023,8,32,0,0,0
2023-08-11,5,2023,8,32,0,0,0
2023-08-12,6,2023,8,32,0,0,0
2023-08-13,7,2023,8,32,0,0,0
2023-08-14,1,2023,8,33,0,0,0
2023-08-15,2,2023,8,33,0,0,0
2023-08-16,3,2023,8,33,0,0,0
2023-08-17,4,2023,8,33,a,0,0
2023-08-18,5,2023,8,33,0,0,0
2023-08-19,6,2023,8,33,0,0,0
2023-08-20,7,2023,8,33,0,0,0
2023-08-21,1,2023,8,34,0,0,0
2023-08-22,2,2023,8,34,0,0,0
2023-08-23,3,2023,8,34,0,0,0
2023-08-24,4,2023,8,34,0,0,0
2023-08-25,5,2023,8,34,0,0,0
2023-08-26,6,2023,8,34,0,0,0
2023-08-27,7,2023,8,34,0,0,0
2023-08-28,1,2023,8,35,0,0,0
2023-08-29,2,2023,8,35,0,0,0
2023-08-30,3,2023,8,35,0,0,0
2023-08-31,4,2023,8,35,0,0,0
2023-09-01,5,2023,9,35,0,0,0
2023-09-02,6,2023,9,35,0,0,0
2023-09-03,7,2023,9,35,0,0,0
2023-09-04,1,2023,9,36,0,0,0
2023-09-05,2,2023,9,36,0,0,0
2023-09-06,3,2023,9,36,0,0,0
2023-09-07,4,2023,9,36,0,0,0
2023-09-08,5,2023,9,36,0,0,0
2023-09-09,6,2023,9,36,0,0,0
2023-09-10,7,2023,9,36,0,0,0
2023-09-11,1,2023,9,37,0,0,0
2023-09-12,2,2023,9,37,0,0,0
2023-09-13,3,2023,9,37,0,0,0
2023-09-14,4,2023,9,37,0,0,0
2023-09-15,5,2023,9,37,0,0,0
2023-09-16,6,2023,9,37,0,0,0
2023-09-17,7,2023,9,37,0,0,0
2023-09-18,1,2023,9,38,0,0,0
2023-09-19,2,2023,9,38,0,0,0
2023-09-20,3,2023,9,38,0,0,0
2023-09-21,4,2023,9,38,0,0,0
2023-09-22,5,2023,9,38,0,0,0
2023-09-23,6,2023,9,38,0,0,0
